Protein IDs,Protein names,Gene names,Control-LFQ intensity P18,Control-LFQ intensity P19,Control-LFQ intensity P20,Di-LFQ intensity P18,Di-LFQ intensity P19,Di-LFQ intensity P20,mean_ctrl,mean_treat,log2FC (treat:ctrl)
P78559;E9PGC8;P78559-2;Q9UL09;Q504X9;A8K4T7,Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2,MAP1A;M1LP,18393,23348,13277,1000,1000,1000,18339.33333,1000,-4.19686929
P46821;A2BDK6;A0A024RAM4;Q5H9P1;A5D6X1;Q4VBY4;D6RA40;A5D8X6;Q05BW8;D6RA32;Q86X89;Q32NB7;Q6PJD3,Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1,MAP1B;DKFZp686F1345,20283,24344,18590,6758.4,7800,4392.9,21072.33333,6317.1,-1.738015757
Q66K74;A8K940;Q66K74-2,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,MAP1S,2748.8,1324.6,4390,32930,38787,30024,2821.133333,33913.66667,3.587520016
A0A0G2JS76;P10636-9;A0A0G2JMX7;A0A024R9Y1;A0A0G2JPD5;A0A0G2JQJ7;P10636;P10636-8;B7U472;A0A024RA17;B4DSB3;A0A024RA19;B4DSE3;B3KTM0;P10636-4;A0A024R9Y0;P10636-7;P10636-2;P10636-6;P10636-3;P10636-5;I3L170,Microtubule-associated protein tau;Microtubule-associated protein,MAPT,3940.6,8760.4,7760.2,10038,4537.9,3584.8,6820.4,6053.566667,-0.172070946
H0Y2V1;F8W9U4;B4DSQ1;P27816-3,Microtubule-associated protein;Microtubule-associated protein 4,MAP4,45940,36895,51029,1000,1000,1000,44621.33333,1000,-5.479661718
Q9NU22,Midasin,MDN1,1000,1000,1000,76168,67648,90732,1000,78182.66667,6.288776888
Q9NU22;M0QXR3;Q6ZVV6;Q5T795;Q6AI22,Midasin,MDN1,34839,28849,40294,20192,38494,23244,34660.66667,27310,-0.34387009
Q8N4C8;Q8N4C8-3;Q8N4C8-2;Q8N4C8-5;Q8N4C8-4;I3L2I2,Misshapen-like kinase 1,MINK1,95047,65950,77675,1000,1000,1000,79557.33333,1000,-6.313923014
Q96C03-3;Q96C03,Mitochondrial dynamics protein MID49,MIEF2,78489,65045,83385,1000,1000,1000,75639.66667,1000,-6.2410711
O43615;Q9UPE4;Q53G69;M0QXU7;Q6AI07;M0R301;M0QXM9,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44;hTIM44,30284,40394,42328,1000,1000,1000,37668.66667,1000,-5.235293063
Q96A46,Mitoferrin-2,SLC25A28,1000,1000,1000,20485,24438,28796,1000,24573,4.619002095
Q02779,Mitogen-activated protein kinase kinase kinase 10,MAP3K10,20274,16785,29708,18869,25495,13285,22255.66667,19216.33333,-0.211839635
Q56UN5;H7C041;A8MWG7;Q56UN5-3;A0A1B0GTF4;Q56UN5-7;Q56UN5-5,Mitogen-activated protein kinase kinase kinase 19,MAP3K19,12930,12002,18696,14303,12109,16656,14542.66667,14356,-0.01863801
Q8IVH8;Q8IVH8-3;F5H5A3;A8K602;Q8IVH8-2;B4DSS3;H7C1A4,Mitogen-activated protein kinase kinase kinase kinase 3;Mitogen-activated protein kinase kinase kinase kinase,MAP4K3,8493.8,10385,7685.9,29204,22290,30129,8854.9,27207.66667,1.619465317
Q9Y4K4;B2R928;D3DSB5;G3V5C6;Q15448;B3KWC4,Mitogen-activated protein kinase kinase kinase kinase 5;Mitogen-activated protein kinase kinase kinase kinase,MAP4K5,19405,12990,17585,1000,1000,1000,16660,1000,-4.058316496
Q8IVT2,Mitotic interactor and substrate of PLK1,MISP,67906,45560,60273,1000,1000,1000,57913,1000,-5.855815328
B3KS10;Q99549;A0A0A0MT47;Q99549-2,M-phase phosphoprotein 8,MPHOSPH8,45940,55495,39607,1000,1000,1000,47014,1000,-5.555018527
A8K946;O43148-2;O43148;K7ERH6;Q05DQ2;Q05D80,mRNA cap guanine-N7 methyltransferase,RNMT,1000,1000,1000,70067,73444,60283,1000,67931.33333,6.086005266
Q96T58,Msx2-interacting protein,SPEN,1000,1000,1000,144729,137640,130920,1000,137763,7.106044655
A0A3S6HTB9;A0A3Q8B178;Q8WXI7,Mucin-16,MUC16,1000,1000,1000,49504,53430,40283,1000,47739,5.577096441
A7Y9J9;Q9HC84;B4E1L4;Q9NYE4,Mucin-5B,MUC5AC;MUC5B,14374,11032,12100,1869.4,2339.5,3990.1,12502,2733,-2.193601543
P08183;Q59GY9;A4D1D2;A1L471;P08183-2;Q6RVA0,Multidrug resistance protein 1,ABCB1;MDR1,19474,23283,16758,1000,1000,1000,19838.33333,1000,-4.310218921
Q5BKX8,Muscle-related coiled-coil protein,MURC,48394,34993,51109,99484,80491,110282,44832,96752.33333,1.109767594
Q96H12;A0A024R171;X6RL08;X6R907;Q96H12-2,Myb/SANT-like DNA-binding domain-containing protein 3,MSANTD3;C9orf30,1000,1000,1000,34049,29590,26668,1000,30102.33333,4.911803414
Q8IZQ8;Q8IZQ8-3;Q8IZQ8-2,Myocardin,MYOCD,30283,24834,34434,29505,28845,37686,29850.33333,32012,0.100865772
Q6ZU56;Q5VTT5-2;Q5VTT5,Myomesin-3,MYOM3,21011,16950,18816,1000,1000,1000,18925.66667,1000,-4.242272216
Q9Y6X7;H0Y2S9;A0A494BZV2;Q6WCQ1;Q6WCQ1-3;Q6WCQ1-2;K7EL39;Q96EE5;A8CGI1;J3QRL2;A8CGI0;H7C3G6;J3KSW8;B9EGI2;H0Y7E2;U6FSN9,Myosin phosphatase Rho-interacting protein;Tyrosine-protein kinase receptor,KIAA0864;MPRIP;M-RIP;Mprip-Ntrk1 fusion gene,1000,1000,1000,8594.7,5565.3,7400,1000,7186.666667,2.845322772
P35749;A0A024QZJ6;A0A024QZJ4;B1PS43;P35749-4;P35749-3;P35749-2;P35580;P35580-2;Q66K75;O14729;O14794;Q7Z7R0;P35580-5;P35580-3;P35580-4,Myosin-11,MYH11,50485,43343,40034,1000,1000,1000,44620.66667,1000,-5.479640164
Q9Y2K3;B3KP05,Myosin-15,MYH15,21920,19934,23343,1000,1000,1000,21732.33333,1000,-4.441771175
Q8NEV4;A0A384MED1;Q8WXR4;Q86VY5;A0A2R8Y4D5;Q0VD65;F5H0U9;F5H2J1;B7ZM71;Q8NEV4-2;Q8WXR4-6;Q8WXR4-3;Q8WXR4-5;Q8WXR4-2;Q8WXR4-4;Q8WXR4-7,Myosin-IIIa;Myosin-IIIb,MYO3A;MYO3B,1000,1000,1000,13930,12220,17768,1000,14639.33333,3.871777951
A4FU01;A4FU01-3;A4FU01-2;A4FU01-5;A4FU01-6;A4FU01-4,Myotubularin-related protein 11,MTMR11,59605,70065,58696,29405,21124,30174,62788.66667,26901,-1.222844373
Q9C0I1-3;Q9C0I1-2;Q9C0I1,Myotubularin-related protein 12,MTMR12,62625,70504,52612,1000,1000,1000,61913.66667,1000,-5.952185996
Q9NYA4;J3QR65,Myotubularin-related protein 4,MTMR4,20183,30023,21375,56056,61129,51294,23860.33333,56159.66667,1.234920175
X1WI25;Q8IXN7,N-acetylaspartylglutamate synthase A,RIMKLA,14590,17996,10151,1000,1000,1000,14245.66667,1000,-3.832451233
Q149M9;F8W0U9;Q149M9-3,NACHT domain- and WD repeat-containing protein 1,NWD1,3449.5,6659.1,4545.6,1000,1000,1000,4884.733333,1000,-2.288279805
Q8TDM2;A0A024R5L2;Q96HD9,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming),HCBP1;ACY3,1000,1000,1000,19404,16596,18879,1000,18293,4.193219787
B7Z9L2;O75306;B7Z792;Q53HG2;O75306-2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,1000,1000,1000,85965,70068,72384,1000,76139,6.250563717
Q6ZQU6;Q8NAS7;F5GXJ1;O75251;B7Z4P1;F5H5N1;B7Z1U1;A8K0V6;Q7LD69;Q9H3K5;A0A087WXF6;A0A087WTI3;Q6ZS38;O75251-2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,1000,1000,1000,138390,188554,121210,1000,149384.6667,7.222888263
Q4R1L7,NADH-ubiquinone oxidoreductase chain 1,ND1,404570,473560,358159,658350,542737,620440,412096.3333,607175.6667,0.559132347
Q68D85,Natural cytotoxicity triggering receptor 3 ligand 1,NCR3LG1,1000,1000,1000,67960,63246,76955,1000,69387,6.116593487
O14513;A0A0A0MS79;H7C187;A0A0A0MSE4;O14513-4;O14513-3;O14513-2,Nck-associated protein 5,NCKAP5,17689,13594,21339,1000,1000,1000,17540.66667,1000,-4.132631676
P20929;P20929-3;A0A087X1N7;P20929-4;P20929-2;Q14215;H0Y786;Q14214;H7C2B3;Q6PJ54;H7BZD5;Q9Y5Z1,Nebulin,NEB,18892,19688,16586,10385,14375,11023,18388.66667,11927.66667,-0.624505031
Q86VF7;Q86VF7-3;A0AVL2;A0A0A0MRM2;Q86VF7-4;Q86VF7-2;Q05D68,Nebulin-related-anchoring protein,NRAP,40385,45568,32431,14894,12332,18590,39461.33333,15272,-1.369550695
Q13564;Q13564-3;Q13564-2;Q13564-4,NEDD8-activating enzyme E1 regulatory subunit,NAE1,1000,1000,1000,39203,45485,29304,1000,37997.33333,5.247826268
Q8WX92-2;Q8WX92,Negative elongation factor B,NELFB,78696,56506,80493,1000,1000,1000,71898.33333,1000,-6.167886423
Q7RTM4;E7ENN3;Q8NF91;Q8NF91-4;A0A0C4DG40;Q8NF91-7;Q8NF91-12;A0A0C4DH48;F8WAI0;H0Y325;Q7Z3K4;B3KV58;H0Y326;Q7Z3R1;Q5JV20;Q5BKU8;Q8NF91-3;Q8NF91-11;Q8NF91-9;Q8NF91-8;Q8NF91-2;B4E3R1;B7Z9Y6,Nesprin-1,SYNE1,18493,15549,21324,17548,20024,14548,18455.33333,17373.33333,-0.087163212
Q8WXH0;Q8WXH0-2;D4YW74;G3V5X4;A0A0A0MRE3;Q8WXH0-13;Q8WXH0-12;Q8WXH0-5;Q8WXH0-10;Q8WXH0-4;Q8WXH0-3;Q7Z362;Q8WXH0-7;Q8WXH0-6;Q6MZP0;A0A0C4DGK3;Q8WXH0-11,Nesprin-2,SYNE2;TROPH,8594.7,4212.8,4933.5,1000,1000,1000,5913.666667,1000,-2.564052926
Q6ZMZ3;G3V533;Q6ZMZ3-2;Q6ZMZ3-3,Nesprin-3,SYNE3,35795,40333,31390,1000,1000,1000,35839.33333,1000,-5.163471896
P48681;D3DVC4;Q9H6U9;Q2YDX4;Q05BW3;A5PKT9;Q5ISQ8,Nestin,NES,18393,12900,13328,1000,1000,1000,14873.66667,1000,-3.89468844
Q8WTR8;Q8WTR8-2,Netrin-5,NTN5,204460,165849,233241,1000,1000,1000,201183.3333,1000,-7.652366982
P32004;P32004-2;Q7Z3Z9;A8K139;P32004-3;Q7Z2J0;Q86SE4,Neural cell adhesion molecule L1,L1CAM,1000,1000,1000,20475,32902,23238,1000,25538.33333,4.674592471
Q96JN8;I3L100;I3L2W2;Q96JN8-2;K7EPS7;I3L2Z9;D3DTP5;K7ESJ6;K7ESM1,Neuralized-like protein 4,NEURL4;hCG_42028,29374,33390,21039,1000,1000,1000,27934.33333,1000,-4.803967485
Q6ZNJ1;A0A494C1V1;Q6ZNJ1-2;Q6ZNJ1-3;H7C3Y7;H0Y764;H7C408;B4DDY6;B4DVX0,Neurobeachin-like protein 2,NBEAL2,29475,24389,30183,12930,18796,13348,28015.66667,15024.66667,-0.89890084
Q09666;Q6ZQN2;B4DTV0,Neuroblast differentiation-associated protein AHNAK,AHNAK,21394,16586,19607,1000,1000,1000,19195.66667,1000,-4.262708761
A0A075B7F9;Q5TI25;A0A087WZB6;B4DH59;A0A087WY62;Q5U227;A0A494C0A2;A0A087WU30;A0A087WZS8;A0A087WTW4;A0A494C053;A0A075B7A3;A0A075B6G5;A0A087WWQ1;A0A087WYI5;A0A087WTQ0;A0A075B757;A0A087WVG0;A0A087WUW2;B4DG53;A0A087WVG8;Q6P3W6;P0DPF3-2;A0A087WYQ9;A0A075B762;A0A087X002;Q3BBV4;A0A087WTH4;A2BH96;A0A087WUL8;A2BGT6;A0A087WVU4;A0A087WZE1;A0A087WZJ2;A0A087WY24;P0DPF3;A0A075B764;H7BZX4;Q8IX83;A0A087WW93;A0A087X230;Q3BBV2;Q8N660;Q5TAG4;Q3BBV7;A0A087WUR2;Q3BBV8;H7BY70;A0A087WV19;A0A087WU97;Q3BBW3;Q3BBV5;A0A087WVV8;A0A087X0J8;A0A087X0Y3;Q3BBW2;A0A0B4J227;A0A087WVE3;A2BGT5;Q5VTG6;Q4VC10;Q5VTG7;Q5TB04;Q5VTG8;A0A087WVM6;A8K2N7;Q6P3W6-2;Q5VWK0-2;Q86T75-2;A0A087WTG0;Q86T75;A0A087WUF5,Neuroblastoma breakpoint family member 14;Neuroblastoma breakpoint family member 26,NBPF26;NBPF14;NBPF8;NBPF19,39204,45495,40128,9585.4,11290,7546.3,41609,9473.9,-2.134865267
A2RRP1;G1UI26;A2RRP1-2;C9JCM7;H0Y5G7,Neuroblastoma-amplified sequence,NBAS,4534.5,9550,6438.1,1000,1000,1000,6840.866667,1000,-2.774179111
P21359;P21359-2;H0UIC3;J3KSB5;P21359-4;P21359-6;Q59FX3;H0Y465;P21359-5;Q14180;J3KRT8;J3QQN8;A8K1M1;P21359-3,Neurofibromin;Neurofibromin truncated,NF1,43957,50448,51184,89706,72378,69690,48529.66667,77258,0.67081738
Q99466;A0A1U9X951;A0A140T9R5;A0A1U9X968;A0A1U9X976;A0A1U9X943;A0A1U9X954;A0A140T8Y6;A0A1U9X983;A0A1U9X980;A0A1U9X948;A0A1U9X938;A0A1U9X958;A0A1U9X989;A0A1U9X986;A0A1U9X933;A0A1U9X953;A0A1U9X966;A0A1U9X967;A0A1U9X964;A0A1U9X978;A0A1U9X944;A0A1U9X946;Q99466-2;B4DFM3;B4DEL8;A0A024RCQ5,Neurogenic locus notch homolog protein 4;Notch 4 extracellular truncation;Notch 4 intracellular domain,NOTCH4,29775,34575,32290,20127,24584,19485,32213.33333,21398.66667,-0.590137048
Q8IVL1;Q8IVL1-2;A7E2D6;Q8IVL1-12;Q8IVL1-3;A0A0A0MTL4;Q8IVL1-11;Q8IVL1-9;Q8IVL1-8;Q8IVL1-4;Q8IVL1-10;A0A0A0MTE8;Q8IVL1-13;Q8IVL1-7;Q8IVL1-5;Q8IVL1-6;A8K343,Neuron navigator 2,NAV2,67869,56905,50048,1000,1000,1000,58274,1000,-5.864780437
Q8IVL0;Q8IVL0-3;Q8IVL0-2;H0YHA8;A0A2R8YFX5;A0A1B0GTC4;F8VZV4;Q6PJB7;B4DPW6;H0YI14,Neuron navigator 3,NAV3,18495,22384,13489,1000,1000,1000,18122.66667,1000,-4.179723352
Q05BJ3;O15240,Neurosecretory protein VGF;Neuroendocrine regulatory peptide-1;Neuroendocrine regulatory peptide-2;Antimicrobial peptide VGF[554-577],VGF,50303,39801,37598,52958,43490,47758,42567.33333,48068.66667,0.175350072
Q8NET5,NFAT activation molecule 1,NFAM1,246430,177720,199635,98239,76000,74161,207928.3333,82800,-1.328383687
Q15653;G5E9C2;Q96LS1;I3L4X3;Q59EM7;Q15653-2,NF-kappa-B inhibitor beta,NFKBIB,43484,38950,30045,1000,1000,1000,37493,1000,-5.228549362
Q9BYH8;Q9BYH8-3;Q9BYH8-2;C9J5I7;H7C5S1;C9JZ23,NF-kappa-B inhibitor zeta,NFKBIZ,1000,1000,1000,48394,32290,56856,1000,45846.66667,5.51874494
Q8N5F7;Q05D22;A0PJ73;A0A494C050,NF-kappa-B-activating protein,NKAP,78690,80069,72122,1000,1000,1000,76960.33333,1000,-6.266043143
O15226-2;O15226;A2I829;Q6NUN2;A3F769;A3F768;A2I831,NF-kappa-B-repressing factor,NKRF;NRF,99706,79655,80284,1000,1000,1000,86548.33333,1000,-6.435434133
Q8N4C6;Q8N4C6-7;Q5XUU0;E9PN67;C9J066;Q8N4C6-4;Q8N4C6-9;Q8N4C6-2;Q8N4C6-5;Q8N4C6-10;H0YDJ4;H9KV85;Q8N4C6-6;Q8N4C6-11,Ninein,NIN,2940.8,5493.6,4438.2,7068.2,2859.8,4600,4290.866667,4842.666667,0.17453263
Q9Y2I6;Q9Y2I6-2,Ninein-like protein,NINL,30298,24758,28965,1000,1000,1000,28007,1000,-4.807715551
Q6KC79;Q6KC79-2;Q6IEH8;A8K2T2;A6QL62;Q6KC79-3,Nipped-B-like protein,NIPBL,5968.2,6676.1,9584.3,1293.6,1894.8,789.34,7409.533333,1325.913333,-2.482396203
Q9Y2I1;B3KNF9;C9J715;B3KNE4;B4DYH7;Q9Y2I1-4;Q9Y2I1-3;Q9Y2I1-2,Nischarin,NISCH,18495,20018,26578,24378,16485,28695,21697,23186,0.095758373
P29475;B3VK56;P29475-2;P29475-5;B4DG68;C9J5P6;P29475-3;P29475-4,"Nitric oxide synthase, brain;Nitric oxide synthase",NOS1,299500,347380,275960,34839,28897,39676,307613.3333,34470.66667,-3.157676932
Q8NC60;B3KY51,Nitric oxide-associated protein 1,NOA1,493023,522930,395048,1000,1000,1000,470333.6667,1000,-8.877540794
Q9H224;V9H1L1;A0A1W2PPD9,N-MYC ,,60586,77697,59706,70174,69405,58893,65996.33333,66157.33333,0.003515211
Q13470;Q13470-2;G9BXQ3,Non-receptor tyrosine-protein kinase TNK1,TNK1,98504,100280,78690,120384,70586,78897,92491.33333,89955.66667,-0.040104022
H0Y6V3;H0Y7V8;Q5HYB0;A0A0A0MRJ1;H0Y5V1;Q8IWQ7;B9EGA7;A0A0A0MRJ0;Q5VT25-3;Q5VT25-4;Q5VT25-5;Q5VT25;Q5VT25-2;Q5VT25-6,Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MRCK alpha,CDC42BPA;DKFZp686P1738,1000,1000,1000,121838,90348,115406,1000,109197.3333,6.770793815
Q13469;B5B2P4;Q13469-5;Q13469-3;Q13469-4;Q13469-2;B7Z8Y1;C3UMV3;C3UMV2;C3UMV4,"Nuclear factor of activated T-cells, cytoplasmic 2",NFATC2,1000,1000,1000,14893,21038,12128,1000,16019.66667,4.001772224
Q59HB8;Q14980;Q14980-2;A0A024R5M9;Q4LE64;A0A087WY61;A0A024R5G4;Q14980-3;Q14980-4;Q7Z757;Q9UNL7;Q9UPG3;H0YFY6;A8K394;F5H4J1;Q14980-5;Q96HN5,Nuclear mitotic apparatus protein 1,NUMA1;NUMA1 variant protein,19033,14374,18706,1000,1000,1000,17371,1000,-4.118608903
Q92621;U3KPX2;Q6P486;B4DE72,Nuclear pore complex protein Nup205,NUP205,1000,1000,1000,29405,30023,21920,1000,27116,4.761072471
F8VUA1;A6NHN6;O75200;O60358;A0A494C1T1;O75199;E9PS57;I3L0I5;B2RXF8;E9PJ23;F8W1W9;E9PQR5,Nuclear pore complex-interacting protein family member B15;Nuclear pore complex-interacting protein family member B7;Nuclear pore complex-interacting protein family member B6;Nuclear pore complex-interacting protein family member B9;Nuclear pore complex-interacting protein family member B8,NPIPB9;NPIPB15;NPIPB7;A-575C2.4;A-761H5.4;NPIPB6;LOC728741;NPIPB8,40057,34485,49686,1000,1000,1000,41409.33333,1000,-5.371884071
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210,17548,12835,13483,1000,1000,1000,14622,1000,-3.870068752
Q8NI08;Q8NI08-2;Q8N4U9;Q8N3C8;H0UI55;B3KXK4;Q8NI08-7;Q3ZTS4;Q6PK00;Q3LID7,Nuclear receptor coactivator 7,NCOA7;DKFZp761B2210;Nbla00052,18394,21920,13244,23289,16758,20019,17852.66667,20022,0.165446506
Q9Y618;Q9Y618-4;C9JFD3;Q9Y618-5;A0A024RBS3;C9J0Q5;A0A024RBU9;C9JE98;A0A384DVL6;A0A481PGK9;C9J7T7;Q9Y618-2;Q9BT61;H7C2R5;H7C0P3;H7C184;H7BZU2,Nuclear receptor corepressor 2,NCOR2,24893,30229,33027,14384,16760,19043,29383,16729,-0.812630494
P49116;P49116-2;C9JKS0;Q6PHZ7;F2YGU2,Nuclear receptor subfamily 2 group C member 2,NR2C2,43940,39404,30394,38495,44538,31932,37912.66667,38321.66667,0.015480372
E9PQH2,Nuclear receptor subfamily 5 group A member 2 ,NR5A2,1000,1000,1000,151890,166496,160683,1000,159689.6667,7.31912715
Q9NSY0;D3DWK9;Q9NSY0-2,Nuclear receptor-binding protein 2,NRBP2,29049,21987,34384,1000,1000,1000,28473.33333,1000,-4.831539492
Q9BZE4;B4DHR2;Q8N4P8;Q53GS0;D2CFK9;Q9BZE4-3;Q9BZE4-2;O60747,Nucleolar GTP-binding protein 1,GTPBP4,38493,30283,40292,1000,1000,1000,36356,1000,-5.184121573
Q86U38;Q5HYL4;Q86U38-2;B3KVY3;A0A3B3ISH6,Nucleolar protein 9,NOP9;DKFZp686E1893,21039,29404,18594,1000,1000,1000,23012.33333,1000,-4.524335368
Q12830;Q12830-4;Q12830-2;E7ETD6;E9PE19;A0A2R8Y7Q1;F5GXF5;J3QLW4;Q86TN2;J3QQQ8;B4DJV8;A0A0A0MR81;B4DM40,Nucleosome-remodeling factor subunit BPTF,BPTF,9374.7,11038,6759.3,7869.2,8557.1,10028,9057.333333,8818.1,-0.038618516
B1AL46;Q5VZR2;A1L443;E2QRH1;B7ZLH0,NUT family member 2E;NUT family member 2G;NUT family member 2F,NUTM2E;NUTM2G;NUTM2F;FAM22F,45489,33393,30298,1000,1000,1000,36393.33333,1000,-5.185602291
Q5VST9;A6NGQ3;Q5VST9-2;Q5VST9-6;A9NIU4;A0A1B0GTS2;A0A0A0MRI8,Obscurin,OBSCN,39003,27589,30026,23293,20047,21028,32206,21456,-0.585948346
Q8NH68;A0A3B3IT45,Olfactory receptor,,50594,43330,43283,42229,48940,51127,45735.66667,47432,0.052541021
A0A2C9F2M5;A0A126GVT6;Q8NH61,Olfactory receptor 51F2,OR51F2,1000,1000,1000,85064,90457,80741,1000,85420.66667,6.416513252
A0A0S2Z500;Q96CV9;B7ZA56;B4E184;Q96CV9-3;Q96CV9-2;H7C1H4,Optineurin,OPTN,30586,25589,38970,28796,35546,25404,31715,29915.33333,-0.084280204
O75798,ORF-3,,10618,14041,12930,17250,21157,12116,12529.66667,16841,0.426629772
Q9HC10;Q9HC10-5;Q9HC10-3;A0A2U3TZT7;Q9HC10-4;Q9HC10-2,Otoferlin,OTOF,6484.1,4448.2,5658.6,1000,1000,1000,5530.3,1000,-2.467357744
Q3ZCN5;A0A2R8YF04;A0A0A0MSS2;H7BXL6;H0YIF7,Otogelin-like protein,OTOGL,43854,32832,30495,12930,8796.9,14378,35727,12034.96667,-1.56978263
Q5T2D3;Q0VDK5,OTU domain-containing protein 3,OTUD3,66950,55659,60023,1000,1000,1000,60877.33333,1000,-5.927833259
B4DFA8;Q969R2;Q969R2-2,Oxysterol-binding protein;Oxysterol-binding protein 2,OSBP2,29302,21102,28970,1000,1000,1000,26458,1000,-4.725632105
Q9BZF2;Q8WXP9;Q9NXG8;Q9BZF2-2;J3QLK7;Q9H4L5;C9JEF2;Q59H73;C9JZ19;Q9BZF3-2;Q9H4L5-5;Q9BZF3;Q9H4L5-6;Q9BZF3-6;Q9BZF3-4;Q9H4L5-2;Q9BZF3-3;Q9BZF3-5,Oxysterol-binding protein-related protein 7;Oxysterol-binding protein,OSBPL7,54540,46779,63940,13930,10294,18796,55086.33333,14340,-1.941649413
Q9BXG2,p25 ,,1000,1000,1000,68594,45044,49660,1000,54432.66667,5.766400811
Q9BUZ1,PAFAH1B2 protein (Fragment) ,PAFAH1B2,530000,604850,584040,1000,1000,1000,572963.3333,1000,-9.162299007
O95428;G3V5P6;O95428-4;O95428-6;O95428-5;H0YJA1;H0YMM2;B3KXI1;B9EGP7;B5MDP7,Papilin,PAPLN,1000,1000,1000,5944.4,6786.1,10018,1000,7582.833333,2.922737014
Q8WXF1;B4DWI8;A0A024RDP4;Q8WXF1-2;X6RDA4;Q6PIX2,Paraspeckle component 1,PSPC1,20231,28832,30943,1000,1000,1000,26668.66667,1000,-4.737073792
O15018;A0A024RE15;O15018-2,PDZ domain-containing protein 2;Processed PDZ domain-containing protein 2,PDZD2;hCG_2039413,3920.5,4433.1,8950,13283,16658,17864,5767.866667,15935,1.466089299
Q9H5P4;A0A2R8Y892;A0A2R8YFN1;Q9H5P4-2;Q9H5P4-1;H0Y7G1;Q9H7Q6,PDZ domain-containing protein 7,PDZD7,19302,22023,14374,18659,21202,15467,18566.33333,18442.66667,-0.009641652
Q96RV3;Q96RV3-4;Q96RV3-3;Q05BT4;H0YJ91;Q96RV3-2,Pecanex-like protein 1,PCNX,1000,1000,1000,12084,13393,10393,1000,11956.66667,3.579743339
B3KNZ5;A6NKB5;H0YB15,Pecanex-like protein 2,PCNXL2,5485.3,4430,2390.1,1000,1000,1000,4101.8,1000,-2.036257149
B2R9U2;Q02790,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,1000,1000,1000,51672,42244,58225,1000,50713.66667,5.664302682
B4DN80;P49759-2;P49759;P49759-3;Q9NRL6;A0A087WVK0;B7ZA12,Peptidyl-prolyl cis-trans isomerase;Dual specificity protein kinase CLK1,CLK1,60531,54930,46676,24390,22203,19950,54045.66667,22181,-1.28485454
F8WE65;C9J5S7;B4DM82;V9HWF5;B2RE56;A8K486;B2RXF3;P62937,"Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed",PPIA;HEL-S-69p,1000,1000,1000,104025,121110,80455,1000,101863.3333,6.670491023
O95613;O95613-2;Q8IWJ7,Pericentrin,PCNT,1000,1000,1000,19940,13439,16606,1000,16661.66667,4.058460816
Q15154;E5RGQ4;E9PGW9;E7EV93;A2RUU9;D3DSQ0;Q15154-3;Q15154-4;Q15154-2;Q15154-5;B9EIS5,Pericentriolar material 1 protein,PCM1,90483,78870,82393,1000,1000,1000,83915.33333,1000,-6.390862544
B4DH14;O15055,Period circadian protein homolog 2,PER2,49930,45400,34293,1000,1000,1000,43207.66667,1000,-5.433215418
O60437;K7EQ71;K7EKI8,Periplakin,PPL,10384,14439,8796.3,6796.5,12849,9684.1,11206.43333,9776.533333,-0.19693229
Q92626;Q96GF5,Peroxidasin homolog,PXDN,1000,1000,1000,13849,11229,16759,1000,13945.66667,3.801744998
Q99424;C9JY29;B4DPM1;C9J0G0,Peroxisomal acyl-coenzyme A oxidase 2;Acyl-coenzyme A oxidase,ACOX2,29304,33293,21930,20384,25549,29808,28175.66667,25247,-0.158337778
Q9UBK2;A0A024R9Q9;Q9UBK2-9;Q9UBK2-4;Q9UBK2-3;B7Z7E0;A0A087WVW3;A0A087WTJ3;Q9UBK2-2;Q9UBK2-6;Q9UBK2-5;Q9UBK2-8,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha,PPARGC1A,13899,12302,17758,20018,13274,14434,14653,15908.66667,0.118616859
A4D2E1,"PERQ amino acid rich, with GYF domain 1, isoform CRA_c",PERQ1,1000,1000,1000,11202,8887.2,13389,1000,11159.4,3.480187556
Q6Y7W6;Q6Y7W6-4;Q6Y7W6-3;A0A024R4A5;I1E4Y6;Q6Y7W6-5;C9JH18;B4DZM1,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2;TNRC15,7584.2,5544.2,8695.4,1000,1000,1000,7274.6,1000,-2.862867922
O00541;B3KXD6;B3KTZ6;B5MCF9;B2RDF2;O00541-2;H7C267,Pescadillo homolog,PES1,29404,32223,23029,20475,27896,34345,28218.66667,27572,-0.033445902
Q8WW12-2;Q8WW12,PEST proteolytic signal-containing nuclear protein,PCNP,1000,1000,1000,16379,22355,20259,1000,19664.33333,4.297509371
